iso3c,year,ca_gdp
STP,2006,-40.3849806309735
STP,2005,-26.5288051595619
STP,2004,-32.3272461423146
STP,2003,-27.7539600682048
STP,2002,-31.2249951011705
STP,2001,-35.5295840568537
STP,2000,-26.3530521883155
STP,1999,-22.359817347003
STP,1998,-14.5005148243491
STP,1997,-6.853428204033
STP,1990,-10.0923794082165
STP,1989,-11.5360141029592
STP,1988,-10.8808365317215
STP,1987,-11.1932183986857
STP,1986,-16.2509595219223
STP,1985,-19.2561062172055
SAU,2020,-4.51692116727614
SAU,2019,3.64484004485363
SAU,2018,7.89890750977747
SAU,2017,1.2254608961689
SAU,2016,-3.91268584311643
SAU,2015,-7.93818281494483
